Tweet,sentimen
""" Kami sampai mengikutinya ke alamat dan tujuan . Kita meminta Kemendagri kirim pejabat dari Pemkot , Pemkab untuk menjemput supaya tahu persis di mana mereka tinggal dan bergaulnya sama siapa dan sebagainya , "" ujar Suhardi . Setelah itu , BNPT dibantu Polri dan TNI memantau hingga batas waktu tertentu . Di saat itulah pemerintah tidak bisa terus menerus memantau mereka . "" Itu yang sekarang kita sedang cari polanya , bagaimana supaya begitu mereka kembali , kita bisa terus memantau , "" ujar Suhardi .",1
"Isu Bom dalam Pesawat Lion Air di Pontianak , Penumpang Keluar Lewat Pintu Darurat",0
Proses Pemasangan Patung Bung Karno di GBK Rampung pada Juni 2018,1
"JAKARTA , KOMPAS . com - Patung Presiden pertama RI Soekarno telah dipasang di sekitar kawasan pintu 5 Stadion Gelora Bung Karno ( GBK ) , Senayan , Jakarta Pusat . Namun , patung tersebut masih ditutupi plastik dan pengerjaan di sekitar patung belum selesai dilakukan . Pemasangan Patung Sang Proklamator merupakan penghormatan bagi Soekarno yang merupakan penggagas dibangunnya GBK . Pada 18 Agustus 2018 GBK akan dijadikan sebagai salah satu tempat untuk menggelar Asian Games 2018 . Pantauan Kompas . com di lokasi , Senin ( 28 / 5 / 2018 ) , Patung Soekarno masih ditutupi dengan plastik berwarna gelap . Tak terlihat jelas bentuk patung tersebut . Adapun patung Soekarno dipasang di atas sebuah batu berukuran cukup besar dengan tinggi lebih dari 20 meter . Di sekeliling patung masih dipagari dengan seng dengan tinggi 2 meter .",1
""" Saya sudah sering ke Indonesia , sebagai turis maupun pekerjaan , tapi saya belum pernah tinggal di Indonesia sebelumya , "" ujar Quinlan . Meski demikian , kata Quinlan , pada dasarnya masyarakat Islam di Australia juga tak berbeda seperti di Indonesia yakni toleran . "" Saya tinggal di daerah dengan tiga masjid , dan sesungguhnya itu membahagiakan , rumah saya jadi sangat damai , "" tutur Quinlan . Quinlan merupakan pengganti Dubes Australia untuk Indonesia sebelumya Paul Grigson . Ia baru menginjakkan kaki di Indonesia kurang lebih pekan lalu , meski Quinlan resmi ditugaskan di Indonesia pada April 2018 .",1
"Selama Ramadhan , Vihara Dharma Bakti Sediakan Takjil untuk Berbuka",1
"Makanan yang disediakan untuk berbuka dibeli dari pedagang yang berada di sekitar vihara . Setiap hari , pedagang makanan diberi giliran untuk menyediakan menu berbuka puasa . "" Baru tahun ini kami adakan . Menu - menunya kami cari dari orang yang dagang di sini , jadi tiga hari sekali ganti pedagang supaya mereka juga dapat giliran ( rezeki ) . Setiap hari menunya selalu berbeda , "" ujar Asen .",1
"Densus Tangkap 3 Terduga Teroris di Probolinggo , 1 Pelaku Penyuluh Pertanian",0
"PROBOLINGGO , KOMPAS . com ñ Penangkapan terduga teroris di Probolinggo terus berlanjut . Pada Selasa ( 29 / 5 / 2018 ) petang , Tim Densus 88 dibantu jajaran Polri dan TNI menangkap tiga terduga teroris di tiga tempat berbeda . Satu terduga teroris tercatat sebagai PNS penyuluh pertanian Kabupaten Probolinggo . Kapolres Probolinggo AKBP Fadly Samad menjelaskan , ketiga orang tersebut adalah Gatot Sulistio ( 54 ) , warga Desa Sumberkedawung , Kecamatan Leces ; Kamal ( 52 ) , warga Desa Maron dan ; Buchori ( 49 ) , warga Desa Maron Kidul Kecamatan Maron Kidul , Kabupaten Probolinggo . ì Mereka ditangkap tanpa perlawanan . Dan langsung dibawa ke Mapolda Jatim . Salah satu terduga teroris merupakan oknum PNS , î kata Fadly . Fadly menambahkan , dari penangkapan itu , petugas menyita sejumlah barang bukti , yakni laptop , pipa , sejumlah telepon seluler , flashdisk , modem , 1 plastik mitasi baut , 1 botol madu , pipa besar , tas , dan avometer .",0
3 Terduga Teroris di Universitas Riau Berencana Ledakkan Bom di Kantor DPRD dan DPR RI,0
"KOMPAS . com - Tim Densus 88 Anti - Teror Mabes Polri menyita empat bom siap pakai dalam penggeledahan di gelanggang mahasiswa Universitas Riau di Jalan HR Soebrantas di Kecamatan Tampan , Pekanbaru , Riau , Sabtu ( 2 / 6 / 2018 ) . Kapolda Riau Irjen Pol Nandang mengatakan , para pelaku mengaku bom tersebut rencananya akan diledakkan di kantor DPRD Riau dan DPR RI . "" Kita belum tau kapan mau diledakkan oleh pelaku sementara masih kita dalami motifnya , "" ujar Nandang dalam konferensi pers di Mapolda Riau , Sabtu malam .",1
"Berdasarkan keterangan pula , lanjut Nandang , pelaku yang merakit bom adalah J yang merupakan alumni jurusan pariwisata . "" Bom dirakit di gelanggang mahasiswa , "" kata Nandang . Nandang mengatakan , ketiga terduga teroris adalah alumni dari kampus Fisip Universitas Riau berinisial J alumni 2005 , D alumni 2002 dan K alumni 2004 . Dalam penggeledahan ini , selain 4 buah bom rakitan tersebut , polisi juga menyita 8 bungkus serbuk berbagai jenis yang mudah terbakar , 2 busur panah beserta 8 anak panah serta 1 senapan angin . "" Bom ini siap diledakkan . Tapi sudah dijinakkan oleh Jihandak , "" kata Nandang . Sebelumnya diberitakan , Tim Densus 88 Anti - Teror Mabes Polri dan Polda Riau menggeledah gelanggang mahasiswa Universitas Riau , Sabtu ( 2 / 6 / 2018 ) .",0
"Penggeledahan gelanggang mahasiswa di kawasan kampus Fisip Universitas Riau itu berlangsung sejak siang . Sekitar pukul 17 . 00 WIB , petugas pun meninggalkan kampus Universitas Riau . Hingga Sabtu malam , pihak kepolisian belum memberikan keterangan resmi terkait penggeledahan tersebut . Selain menggeledah gelanggang mahasiswa , petugas juga menyisir sejumlah fakultas .",0
"JAKARTA , KOMPAS . com - Lurah Cilandak Barat Agus Gunawan membenarkan surat edaran yang berisi permintaan dari pihak Kelurahan Cilandak Barat kepada RT se - Cilandak Barat untuk mengumpulkan dana zakat untuk gerakan Ramadhan minimal Rp 1 juta per RT . Surat itu sebelumnya sempat viral di media sosial . gs mengatakan , surat itu ditujukan kepada seluruh RT dan telah diedarkan sejak Kamis ( 24 / 5 / 2018 ) ke 144 RT yang ada di Cilandak Barat . "" Jadi setiap tahun kita ada map , tapi itu diberikan kepada RT bukan kepada masyarakat , "" ujar Agus saat dikonfirmasi Kompas . com , Sabtu ( 2 / 6 / 2018 ) . Agus menjelaskan , surat edaran tersebut ditujukan agar pihak RT mengumpulkan zakat dari masyarakat . Zakat itu akan dikumpulkan dan disalurkan melalui Badan Amil Zakat , Infaq dan Shadaqah ( Bazis ) .",1
"Terkait patokan zakat yang terkumpul minimal Rp 1 juta , Agus mengatakan hal tersebut ditujukan agar pihak RT lebih semangat untuk mengumpulkan zakat tersebut . Tidak akan ada sanksi bila zakat yang terkumpul kurang dari nominal tersebut . Menurut Agus , pada tahun lalu , pihaknya juga mengirimkan surat edaran yang sama kepada RT se - Cilandak Barat . Pihak RT , lanjut Agus , merasa tidak keberatan . Terkait ada denda Rp 1 juta jika map tersebut hilang , Agus mengatakan aturan itu dibuat oleh Bazis . "" Memang ada angkanya , supaya ada semangatnya . Kalaupun tidak tercapai tidak masalah . Namanya kan ajakan dan seruan itu bukan paksaan , "" ujar Agus . "" Kalau dapatnya sebegitu ( kurang ) , ya tidak masalah , kan cuma menghimbau saja . Kita tahu kondisi masyarakat , lingkungannya bagaimana , kami tidak sama ratakan . Kalau RT - nya bagus , ya malulah cuma sebegitu ( kalau kurang ) , begitulah kira - kira , "" ujar Agus . Sebelumnya diberitakan , sebuah surat edaran berkop surat Kelurahan Cilandak Barat beredar di media sosial . Surat yang dibuat pada 24 Mei itu berisi permintaan oleh pihak Kelurahan Cilandak Barat kepada seluruh RT se - Cilandak Barat untuk mengumpulkan dana Bazis , map Ramadhan kepada warga dengan angka minimal Rp 1 juta dan ancaman denda Rp 1 juta bagi yang menghilangkan map tersebut . Permintaan itu untuk menindaklanjuti seruan Gubernur Provinsi DKI Jakarta No. 07 Tahun 2018 tentang gerakan amal sosial Ramadhan Tahun 1439 H / 2018 M . Dalam surat itu , pihak kelurahan meminta agar pihak RT mengumpulkan dana dari masyarakat dan dikumpulkan paling lambat pada 25 Juli 2018 . Surat itu ditandatangani oleh Lurah Cilandak Barat Agus Gunawan dengan stempel dari pihak Kelurahan Cilandak Barat .",1
"Menteri Susi : Sekarang Tuna Bukan Milik Kapal Asing , tetapi Semua Nelayan",1
"Menurut menteri asal Pangandaran Jawa Barat itu , kebijakan perikanan Indonesia telah menghasilkan bukti yang nyata .",1
""" Ternyata tuna , dengan sebuah policy yang benar , dapat ditangkap oleh semua nelayan . Sekarang tuna bukan milik kapal - kapal long liners besar , bukan hanya milik kapal - kapal long liners asing , "" ujar Menteri Susi dalam siaran pers , Minggu ( 3 / 6 / 2018 ) .",1
""" Tetapi juga oleh nelayan Jembrana , oleh nelayan Banda Naira , oleh nelayan NTT , nelayan Sendang Biru , semua bisa dapat tuna . Besar - besar ukurannya dan dekat , tidak usah jauh - jauh ke tengah laut , "" sambung dia .",1
"Susi menilai , Indonesia sangat pantas diperhitungkan dalam bisnis tuna . Data resmi FAO melalui SOFI pada tahun 2016 terdapat 7 , 7 juta metrik ton tuna dan spesies seperti tuna ditangkap di seluruh dunia .",1
"Pada tahun itu , Indonesia memasok lebih dari 16 persen total produksi dunia dengan rata - rata produksi tuna , cakalang dan tongkol Indonesia mencapai lebih dari 1 , 2 juta ton per tahun .",1
"sementara itu , volume ekspor tuna Indonesia seperti dikutip dari data yang disampaikan Kementerian Kelautan dan Perikanan , mencapai 198 . 131 ton dengan nilai 659 , 99 juta dolar AS pada tahun 2017 .",1
"Pemerintah Indonesia , kata Susi , telah mengidentifikasi prioritas pengelolaan perikanan tuna yang berfokus pada data produksi tuna .",1
"Ada pula peningkatan sistem registrasi kapal tuna untuk perairan kepulauan , pengembangan implementasi sistem pemantauan elektronik dan sistem pelaporan ketelusuran tuna .",1
"Pemerintah mengatakan , rencana pengelolaan tuna nasional menerapkan aturan dan standar yang diadopsi oleh Organisasi Manajemen Perikanan Daerah ( RFMOs ) .",1
"Tak ketinggalan , Indonesia juga berpartisipasi dalam The Indian Ocean Tuna Commission ( IOTC ) , The Western and Central Pacific Fisheries Commission ( WCPFC ) , The Commission for the Conservation of Southern Bluefin Tuna ( CCSBT ) dan Inter - American Tropical Tuna Commission ( IATTC ) .",1
"Kena OTT KPK , Status Bupati Purbalingga di PDIP Dipertanyakan",0
"KOMPAS . com - Pascaoperasi tangkap tangan ( OTT ) Komisi Pemberantasan Korupsi ( KPK ) kepada Bupati Purbalingga Tasdi , Senin ( 4 / 6 / 2018 ) , Dewan Pimpinan Cabang ( DPC ) PDIP Purbalingga langsung mengambil langkah strategis untuk membenahi stabilitas internal . Pasalnya , sebelum dicokok KPK , Tasdi juga menjabat sebagai Ketua DPC PDIP Purbalingga . Sekretaris DPC PDIP Purbalingga Bambang Irawan ketika dihubungi , Selasa ( 5 / 6 / 2018 ) mengatakan , pihaknya mendukung proses hukum yang berlaku .",0
""" Meskipun bupati merupakan kader , namun perlu saya tegaskan , dalam perkara ini tidak ada hubungannya dengan partai PDIP , î katanya . Terkait dengan status Tasdi , Bambang mengungkapkan , PDIP selalu tegas kepada setiap kader yang terlibat kasus korupsi . ì Otomatis dipecat , informasi dari Pak Sekjen ( Hasto ) , tapi secara resmi surat belum kami terima , î ujarnya .",0
"Untuk menindaklanjuti keputusan tersebut , Bambang secara pribadi telah diminta untuk menghadap ke Dewan Pimpinan Daerah ( DPD ) PDIP Jawa Tengah pada Selasa ( 5 / 6 / 2018 ) . "" Setelah surat turun , kami akan langsung melakukan pembenahan internal . Kaitannya dengan mekanisme yang lain , kami tegak lurus dengan aturan partai , "" tuturnya .",1
"JAKARTA , KOMPAS . com - Ketua Umum Partai Kebangkitan Bangsa ( PKB ) Muhaimin Iskandar berbuka puasa bersama anak yatim di Kantor DPP PKB , Jakarta , Senin ( 4 / 6 / 2018 ) . Ada yang menarik dari kehadiran pria yang akrab disapa Cak Imin itu . Sebab , Cak Imin memakai kaus dengan tulisan "" # 2019TumpasTeroris "" yang sangat mencolok , di balik jaket coklat yang dikenakan . Cak Imin sendiri tiba di kantor DPP PKB ditemani oleh istrinya Rustini Murtado sekitar pukul 17 . 00 WIB . Kemudian , dia menyalami dan berbincang dengan beberapa anak yatim sambil memperlihatkan kaus merah yang dikenakannya itu kepada wartawan . Namun apa makna kaus tersebut ? Usai berbuka puasa , Cak Imin pun mengungkapkan maknanya kepada wartawan . "" Pesannya , semuanya harus diselesaikan secara tuntas 2018 . Seluruh bibit ancaman terorisme harus kita atasi , "" kata Cak Imin , yang kini menjabat Wakil Ketua MPR . Acara buka puasa ini sendiri diikuti 500 anak yatim . Selain itu , PKB juga memberi santunan kepada 1 . 000 anak yatim , termasuk yang hadir di kantor DPP PKB . Adapun rangkaian kegiatan yang dilakukan dimulai dari acara menggambar dan mewarnai , dengan tema kerukunan beragama di Indonesia . selanjutnya , diumumkan pemenang lomba dan pembagian santunan yang diberikan oleh Cak Imin .",1
Revisi Undang - Undang Terorisme sudah hampir rampung .,1
Saat ini yang masih menjadi ganjalan tinggal masalah definisi terorisme .,0
"Guna mengatasi kebuntuan ini , pemerintah menyiapkan dua opsi .",1
Yasonna mengaku sudah koordinasi dengan Ketua DPR Bambang Soesatyo agar revisi UU Terorisme bisa selesai tepat waktu .,1
"Pemerintah Malaysia mencatatkan rekor gemilang , ketika berhasil menggagalkan penyelundupan narkoba jenis sabu kristal sebanyak hampir 1 , 2 ton , yang disembunyikan di balik paket teh dari Myanmar .",1
"Polisi juga meringkus enam orang tersangka dalam penyergapan yang dilakukan Senin pagi tadi , terhadap sebuah kontainer yang telah mendarat hampir seminggu di Pelabuhan Port Klang , di barat daya Kuala Lumpur .",1
"Total sabu kristal yang disita polisi Malaysia mencapai 1 . 187 kilogram , dengan nilai komersial yang ditaksir sekitar 71 juta ringgit , atau setara Rp 249 miliar .",0
PT Adaro Energy Tbk ( ADRO ) dan mitranya EMR Capital akan mengembangkan penambang batu bara di Australia .,1
"Direktur Adaro Moh Syah Indra Aman mengatakan , perusahaan telah mendapat restu dari Pemerintah Australia untuk mengakusisi 80 persen tambang batu bara Kestrel yang dioperasikan Rio Tinto .",1
""" Persetujuan Pemerintah Australia sudah keluar minggu lalu , "" kata Indra , di Jakarta , Rabu ( 30 / 5 / 2018 ) .",1
"Mutiara air tawar terbesar yang diketahui di dunia , yang dulu milik Catherine the Great ( Katarina Agung ) , dijual pada Kamis 31 Mei 2018 di Belanda seharga 320 . 000 euro atau sekitar Rp 5 , 1 miliar .",1
Proporsi itu membuatnya menjadi salah satu dari tiga mutiara terbesar yang pernah diketahui di dunia .,1
"Seorang ibu di Florida , Amerika Serikat tergunjang jiwanya saat mengetahui anak perempuannya yang masih berusia sembilan bulan tewas akibat diserang oleh anjing pitbull peliharaannya .",0
"Insiden penyerangan yang dilakukan anjing jenis pitbull ini terjadi pada Rabu , 30 Maret 2018 di Miramar , Florida , Amerika Serikat .",0
"Ibu dari korban , Brenda Villasin ( 24 ) tak menyangka jika momen berpamitan di pagi hari saat hendak kerja menjadi kesempatan terakhir bagi dirinya bertemu dengan sang buah hati .",0
"Kedutaan Besar Republik Indonesia ( KBRI ) untuk Republik Demokratik Azerbaijan menggelar peringatan Nuzulul Quran pada bulan Ramadan , Sabtu 2 Juni 2018 .",1
Acara diawali buka puasa Ramadan bersama seratus lebih Warga Negara Indonesia ( WNI ) di Azerbaijan dan staf KBRI .,1
"Duta Besar Indonesia untuk Azerbaijan , Husnan Bey Fannanie , mengaku senang dengan kehadiran tamu yang memadati kediamannya tersebut pada bulan Ramadan .",1
Pengasuh Pondok Pesantren Modern Gontor itu menyampaikan pentingnya merajut ukhuwah Islamiyyah .,1
"Di ujung ceramahnya , Kiai Hasan berharap suasana baik dengan berkumpulnya umat Islam Indonesia dan Malaysia ini terus terpelihara .",1
"Angka tersebut menurun jika dibandingkan dengan target tahun ini sebesar 9 , 5 - 10 persen .",1
"Meski tingkat kemiskinan terus menurun , namun kerentanan atau status rentan miskin masih menjadi tantangan pemerintah .",1
"Yang setara dengan 26 , 58 juta jiwa jadi masih ada 26 , 58 juta jiwa warga negara Indonesia yang hidup di bawah garis kemiskinan , "" ujar dia di Gedung DPR - MPR , Jakarta , Senin ( 4 / 6 / 2018 ) .",0
"Bambang mengatakan , dari jumlah 26 , 58 juta jiwa ada sebanyak 9 , 68 juta jiwa yang sangat miskin atau sekitar 3 , 72 persen .",0
Presiden Joko Widodo atau Jokowi menjadi pejabat negara yang paling banyak melaporkan penerimaan gratifikasi .,1
"Tercatat hingga 4 Juni 2018 , total pengembalian penerimaan gratifikasi Jokowi sebesar Rp 58 miliar .",1
""" Total nilai gratifikasi milik negara terbesar dari pengembalian Presiden Jokowi Rp 58 miliar , "" ujar Direktur Gratifikasi Giri Suprapdiono di Gedung KPK , Kuningan , Jakarta Selatan , Senin ( 4 / 6 / 2018 ) .",1
"Pengembalian kedua terbesar dari Wakil Presiden Jusuf Kalla , yakni sebesar Rp 40 miliar .",1
"Ketiga dari Pegawai Pemerintah Provinsi DKI Jakarta sebesar Rp 9 , 8 miliar .",1
""" Keempat dari Dirjen salah satu Kementerian Rp 5 , 2 miliar , dan mantan Menteri ESDM Sudirman Said Rp 3 , 9 miliar , "" kata Giri .",1
"Giri menerangkan , total penerimaan laporan gratifikasi sampai hari ini sebanyak 759 laporan .",1
"Dari 759 laporan , 534 atau 67 persen dinyatakan milik negara .",1
Dua persen milik penerima dan sisanya 31 persen masuk kategori negative list .,0
"Indonesia akan mendapat hadiah Alquran sulaman tangan asli buatan pengrajin kain Muslim asal China , Aisha Li .",1
Alquran ini siap diberikan dalam perhelatan Nuzulul Quran malam ini .,1
"Ide pembuatan Alquran sulaman tangan ini datang dari Tan Sri Lee Kim Yew , Chairman Cheng Ho Multi Culture Education Trust Malaysia .",1
""" Sebuah peristiwa bersejarah seorang sahabat saya Tan Sri Lee Kim Yew , seorang pengusaha warga negara Malaysia menganut Konghucu yang taat tapi tertarik pada Islam , diam - diam dia meminta ke Aisha Li dan grupnya untuk menyulam ayat suci Alquran , selama dua tahun lebih baru dapat diselesaikan , "" kata Din saat jumpa pers di Hotel Mandarin Oriental , Jakarta Pusat , Senin ( 4 / 6 / 2018 ) . Din menjelaskan , Alquran model sulam adalah yang pertama dan baru satu - satunya di dunia .",1
Ukuran kain sulam setiap juz 1 . 700 cuma x 50 cuma .,1
"Pemerintah melalui Kementerian Keuangan mengalokasikan anggaran untuk pembayaran tunjangan hari raya ( THR ) dan gaji ke - 13 untuk pegawai negeri sipil ( PNS ) 2018 sebesar Rp 35 , 76 triliun .",1
"Jumlah tersebut meningkat 68 , 92 persen dari pembayaran tahun lalu .",1
""" Pastinya bebani APBN kita , "" katanya saat ditemui Medcom . id di Hotel Ibis Harmoni Jakarta , Rabu 23 Mei 2018 .",0
"Irfan , 19 , korban begal di Jembatan Summarecon , Bekasi Selatan , Kota Bekasi , ternyata memiliki kemampuan bersilat .",0
Dengan modal silat ini pula dia menyerang balik begal yang menyasarnya .,1
"Benang jahitan luka berwarna hitam , masih terlihat di wajah dan tangannya .",0
Irfan adalah korban perampokan yang berani untuk melakukan perlawanan kepada pelaku yang menggunakan senjata tajam jenis celurit .,1
Di kampung halamannya pula ia belajar silat .,1
"Walau terbukti berani melawan dua begal bersenjata tajam , Irfan terkesan merendah .",1
Siti Nuraidah Hasibuan alias Kiki divonis 15 tahun penjara dan denda Rp 5 miliar atas kasus penipuan terhadap calon jemaah umrah First Travel .,0
""" Juga denda Rp 5 miliar bila tak dibayar , diganti dengan kurungan penjara 8 bulan , "" kata Ketua Majelis Hakim Soebandi dalam sidang vonis yang berlangsung di Pengadilan Negeri Depok , Jawa Barat , Rabu , 30 Mei 2018 .",0
Kiki merupakan Direktur Keuangan sekaligus komisaris First Travel .,1
Sedangkan Annisa divonis 18 tahun penjara .,1
"Gubernur Jawa Barat Ahmad Heryawan menyatakan pada 8 Juni 2018 Bandara Internasional Jawa Barat ( BIJB ) Kertajati , Majalengka , Jawa Barat sudah bisa melayani penerbangan komersial .",1
Aher memastikan BIJB Kertajati sudah siap melayani pemudik tahun ini .,1
"Menurut dia , Historical Flight atau penerbangan bersejarah yang dilakukan Presiden Joko Widodo telah menandai bahwa BIJB siap melayani penerbangan komersial .",1
"Sepinya area car free day ( CFD ) memengaruhi pendapatan pedagang kaki lima di kawasan Sudirman - Thamrin , Jakarta Pusat .",0
"Seorang pedagang , Ali , biasanya bisa menjual 30 kilogram jeruk baby yang telah diolah menjadi minuman setiap Minggu .",1
"Selama ramadan , ia hanya bisa menjual 15 kilogram sejak pukul 06 . 00 - 11 . 00 WIB .",0
""" Ya kita sih tidak apa - apa dengan omzet ( menurun ) seperti ini .",1
"Yang penting masih diberi rezeki , "" kata Ali kepada Medcom . id di Jalan MH Thamrin , Jakarta Pusat , Minggu , 3 Juni 2018 .",1
"Setiap pekan , warga Jakarta dan sekitarnya biasa memadati kawasan Sudirman hingga Thamrin untuk berolahraga .",1
Beberapa komunitas juga hadir di wilayah ini untuk melakukan ' kopi darat ' .,1
"Di luar ramadan , jajanan di sepanjang jalan itu juga sangat ramai dikunjungi pembeli .",1
Polisi : 5 Terduga Teroris Probolinggo Sudah Berstatus Tersangka,0
"Probolinggo - Pemburuan terhadap jaringan teroris di Probolinggo , Jawa Timur gencar dilakukan polisi . Dalam beberapa waktu terakhir sudah ada 10 orang terduga teroris yang diamankan .",1
"Kapolres Probolinggo Kota AKBP Alfian Nurrizal mengatakan , dari 10 orang yang diamankan itu , 5 diantaranya kini sudah berstatus tersangka .",1
"Kelima tersangka masuk dalam jaringan tersebut yakni Muhammad Fatwa , Irvan Suharianto , Harits S Arifin , Agus Purnomo dan Arif Lukman Hakim .",1
""" Kelima terduga sebelumnya ini sudah ditetapkan tersangka oleh tim Densus 88 Antiteror setalah dilakukan penyidikan di Mapolda Jatim , "" kata Alfian , Kamis ( 31 / 5 / 2018 ) .",1
"Sedangkan untuk 5 orang lainnya masih berstatus terduga saat ini yakni GS , B , K , KS serta WDP .",0
""" Mereka sudah ditahan di Polda Jatim untuk menjalani pemeriksaan intensif . Bagaimana perkembanganya kita masih menunggu "" ungkapnya .",1
Dari 10 orang yang dinilai kuat masuk dalam jaringan aksi teror di Surabaya dan Sidoarjo dengan meledaknya bom di daerah tersebut .,0
"Polda Metro Siapkan 143 Pos Pelayanan Mudik , Ada Ambulans - Bengkel",1
Jakarta - Polda Metro Jaya mendirikan 143 pos pelayanan bagi warga yang mudik Lebaran 2018 . Pos pelayanan itu akan menyediakan sejumlah fasilitas mulai dari ambulans hingga bengkel .,1
""" Polda Metro Jaya membuat 143 pos pelayanan dan pengamanan , artinya pos pelayanan ini nanti ada beberapa instansi terkait yang terlibat di pos pelayanan tersebut . Nanti ada derek , ada ambulans , ada bengkel yang kita gunakan untuk fasilitas para pemudik , "" kata Kabid Humas Polda Metro Jaya Kombes Argo Yuwono di Mapolda Metro , Jalan Jenderal Sudirman , Jakarta , Selasa ( 5 / 6 / 2018 ) .",1
"Argo mengatakan pos pelayanan itu merupakan kerja sama polisi , TNI dan sejumlah instansi terkait . Sejumlah personel kepolisian pun dikerahkan di setiap pos tersebut untuk mengamankan warga yang hendak mudik .",1
""" Dan pos pengamanan ada juga posko , pos pengamanan ini semua Polres ada yang nantinya ada pos antara polisi , TNI dan masyarakat yang akan membantu di dalam kegiatan kelancaran arus mudik di sana . Jadi nanti semua sudah kita plot dan para Kapolres sudah menyiapkan titik - titik mana saja yang nanti akan kita isi , "" ujar dia .",1
Otak Kaburnya Tahanan Polsek Denpasar Barat Ditangkap di Surabaya,0
Foto : M Zubair yang diduga sebagai otak kaburnya 5 tahanan dari Polsek Denpasar Barat akhirnya ditangkap polisi . Fotografer : Istimewa,0
"Jakarta - M Zubair yang diduga sebagai otak kaburnya 5 tahanan dari Polsek Denpasar Barat akhirnya ditangkap polisi . Pria ini dibekum di Surabaya , Jawa Timur .",0
"Tahanan kasus penipuan Rp 250 juta ini ditangkap di Terminal Purabaya , Surabaya pada Selasa 5 Juni 2018 siang hari .",0
Penangkapan Zubair dilakukan setelah polisi mengantongi keterangan seseorang berinisial MYM yang membantu kelima tahanan kabur dengan memasukkan gergaji ke dalam tahanan .,0
""" Tersangka ditangkap saat akan melanjutkan pelarian menuju Jakarta . Dia sudah sempat memesan tiket bus tujuan Jakarta , "" kata Kabid Humas Polda Bali , Kombes Pol Henky Wijaya , Selasa 5 Juni 2018 malam hari .",0
Sebelumnya Kapolresta Denpasar Kombes Hadi Purnomo menyebut keempat tahanan yang tengah diburu ini telah berpencar . Diindikasi sudah ada yang melarikan diri keluar pulau Bali .,0
""" Ada yang di Bali ada yang di luar Bali ( kaburnya ) . Yang di Bali ada 3 yang di luar Bali ada 1 , "" kata Kombes Hadi saat ditemui detikcom di kantornya .",0
"Dari hasil pemeriksaan sementara , petugas mengorek informasi dari Akbar yang sempat kabur dari tahanan . Akbar , kata Hadi , menyebut jika para tahanan ini bergantian membuat lubang . Petugas juga mengamankan sejumlah barang bukti dari Polsek Denpasar Barat berdasarkan hasil interogasi dari Akbar .",1
""" Jadi alat yang kita temukan dari keterangan Akbar ini dapat kita amankan barang bukti 2 gergaji kemudian obeng dan juga plastik yang ada di tempat kejadian perkara , "" pungkas Hadi .",0
"Dengan tertangkapnya Zubair , saat ini masih ada 3 orang tahanan yang menjadi DPO . Mereka adalah Muhamad Rifai tahanan kasus pencurian . Serta Muhamad Alfah dan Wilson Kennedy komplotan kasus pencurian dengan pemberatan ( curat ) .",1
