sentimen,Tweet
1,ya allah ya tuhan kau lindung dua ibu bapa saat aku jauh dengan mereka
1,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat
-1,kesi belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t
1,diremes di enyot ngedusel dusel di nenen kamu wah mantap
0,mana gampaang aku nanya dulu tauu
-1,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe
-1,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
1,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e
0,makan tido makan tido hari ni aku reput je la kat rumah hadap orang ni haih
-1,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib
0,threado as promised aku nk citer alam aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s
0,makanya tadi aku kaget lihat teman kabar nya udah meni dalam hati kamu kapan taaruf kok sampai ga cium kabar
-1,pacar kamu sibuk ya kok tumben komen wassap story aku
-1,kucin datang bawah meja mintak makan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang ekor dia datang ber
-1,lepas dia tidak mau kamuadarlah jangan batu
-1,aku nak tanya lah apa asa korang bila simpan duit dalam tabung kemudian anai2 makan duit tu
-1,tolong belum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana asa kau bila ada orang kacau buah hati kau
-1,biasa tu perempuan kena jaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk
1,pilih salah satu yang paling kamu nyaman
1,aku sendiri jugaaa yuk bareng
-1,aku benci soal bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire
0,aku juga dong mbak link kalo jepang main
-1,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per
1,mini giveaway hubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa undi j
1,mantan kamu yang brengsek itu jangan dilupain justru jadi ingat bahwa kamu pernah salah pilih dan bego bego
1,aryana tolong bukak mata besar besar pilih syafiq biar sofea bahagia sama adrian pls laaaaaaaa murung aku kal
0,hyung kamu kanibal kan
1,buat cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk buat anak tangga rencana cendekiabijak
-1,kamu ga laku laku unn
-1,aku try untuk lupa benda tu tapi akhir benda tu buat aku jadi down ya allah tlg laa hilang kecewa yg ada
0,jajanin aku kak
-1,iyaaaa kasi donghae nya aku lelep
0,ini tiga aku satu aja gapunya
0,hi semua aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee
1,cantik boleh la confess kat crush peluang kena reject tu nipis sel epidermis bawang je tang aku ni kalau confess hmm
0,aku di rumah aja adalah anagram dari besok malam minggu
0,jumat malam sama 2 kawan di dalam mobil tuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k
-1,aku juga pernah dah kek gitu 2x gaada hasil percumaa
-1,ku kira aku introvert nyata karna nga punya uang aja jadi males ke mana mana
1,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku
1,ini yang buat aku makin yakin indonesia akan damai jika di pimpin beliau
-1,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii
-1,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg
-1,pernah dan abis itu aku ga berani bawa motor lama beberapa hari dan pas mau bawa motor lagi gemeteran gitu
1,aku nk walk in ajelah senang
1,jadi seperti aku
1,sentiasa ingat diri jangan selalu tunjuk gembira depan orang yang sedang kecewa moga aku sentiasa ingat
0,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo ubah sosyeti a
-1,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp
1,temen temen yg ada di jatinangor dan sekitar bisa tolong beli ya jual bapak ini beliau jual kain lap keset dsb
1,hahaa aku juga ga ngerti tadi tp asal jwb aja
1,kelak jika aku jadi orangtua yang akan laku adalah yakin anak nak percaya sama ayah tidur siang itu men
-1,yang apa kamu kabul doa ku untuk klosdonecepatnya okey kalo itu mau kamu
1,aku hibur hahahahahahahahahahahaha
0,kamu juga kan
0,x de adab betul budak ni pinjam buku aku
1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah hibur contoh burung rek ber
-1,makin lama rasa apebende laa aku melalut ni i better stop
1,iya lucu emang dia aku temenan di ig
-1,dear makhluk hidup sekitar kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak
-1,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menang weyh 5 tahun sama kot
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu
0,kenapa popular weh sorry aku blur x paham mksd hg
1,lhaa kaann ancene aku arek e kurang pinter wayah e aku konco terus yaa ambk arek e sopo ngerti ciprat rejeki
1,give away time untuk raya ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov
0,broimak video ini ribka tjiptaning tulis buku aku bangga jadi anak pki dia tuju pki harus tetap ada yang pasti d
1,kak mau jugaa
0,mau mandi diceramahin dulu sama nyonya besar inti sama tobat kamu abis iniiap komandan
-1,kepada para suami aku nasihat jangan forward gambar ni kepada isteri aku baru forward tadi
-1,aku tak faham betul lelaki tak suka perempuan pakai makeup
-1,wasyuu
1,kamu adalah yang ia ingin untuk jadi tempat singgah terakhirebesar itu harap kepada jangan mengecew
1,aku dulu lahir di jogja jogja juluk kota hati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit
1,guys aku jumpa ayat yang guna untuk guna time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar
0,ada jual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb
1,kepada fresh grad yg tgh cari kerja boleh try amal zikir dan semua doa ni alhamdulillah lepas amal ni aku pon dpt
-1,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to
-1,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidur lena ke dia perlu aku tak ka
0,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa
1,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa harga melindun
0,karena aku kepo 11 13 20
-1,aku betul betul nak mintak bantu korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin
-1,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safari tak undang ke ru
0,arti aku bener dong jawab cowok dapet 2jt nggak nih
0,tls followan ama aku yukk rep rt kita temenan
-1,14 modal nomad 15 ribu dan kotak popcorn modus mesum lancar pertama tama kamu rasa aneh lama lama kamu izin maksiat
-1,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg sakit
-1,back then in school cikgu semua macam eh jangan cinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i
-1,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhir aku menang
-1,kalau tak sungguh nak jaga aku boleh je henti berpura2 aku boleh jaga diri aku tanpa paksa kau kau tak perl
-1,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk
1,buat dong aku kan juga istri daniel
-1,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai
1,hihihihi look at the face lepas aku taknak kau bau ikan bagi aku mandi dulu namau nameow catsoftwit
-1,jauh aku jalan sampai dahlia baru peras tinggal labcoat kat dinamik sobss
0,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila cakap ada content ive never thought y komuniti ki
0,lepas tengok movie onetwojaga ingat pulak time intern dulu kerja dengan contractor bagai quantityurvey juruuk
0,ada yang tahan karena sayang ada juga karena paksa turut kamu kapel kamu yang mana
1,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa
-1,sudah waktu aku mulai jalan hidup sendiri mello death note
0,so aku pergi klinik sebab muntah tengok carta organisasi dia buat aku nak gelak apa ni wei
-1,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri
0,ya allah ken ngakak goler2 aku sama trit iniiii
1,tolong la harini je dah banyak sangat ketawa krem perut aku yall
-1,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me
-1,mu gemes banget adminnya aku ga jadi marah
0,pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa
0,siang happy friday sholat jum at nya jangan lupa ya aku habis ada giat terus nanti ada latih bareng team j s
0,kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka
1,gt tuhan yesus kata aku dapat ganti rasa frustasi di hati dengan damai sejahtera mbml
1,aku doa lelaki yang tengah kerja cari duit untuk pasang masing masing beri kesihatan dan murah rezekiemo
-1,bisa aja kamu naruto padahal emang ken nyium tp muka yg disalahin gt lt
-1,keluar airmata jantan aku baca
-1,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p
0,aku tadi nge rt wah wah wah
-1,wah pas nonton berita ada yang lamar pas wisuda jadi ingin aku tuh tapi yang nak lamar pon siape
0,benar takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu
1,temen temen yg ada di jatinangor dan sekitar bisa tolong beli ya jual bapak ini beliau jual kain lap keset dsb
0,antara ayat tipu paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka
0,izin aku mengupload ini
-1,aku rasa seperti aku tidak bisa laku apa tanpa elfungmin
-1,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl
1,syukur hingga kamu lupa rasa kurang tulisanirin jumatberkah
1,segitu kangen ya mba sama aku
0,kamu jangan lupa sholat dzuhurnya
0,life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu
-1,bayang kalau posisi kamu lg di bwah dan orng lain lihat kita rendah karna materi yang kita punya
1,hidup ini adalah pilih yang harus kamu pilih
0,tiap salam buat suami aku exo di korea paaak
-1,laa haha sorry2 akua paham
-1,receeehh ah kamu
0,masalah pinjam lighter bang pinjam lighter jap ok light kena diri jap dup satu pam kene hembus dlu sebab nak ucap
-1,kurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau
0,tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nang l
1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu
-1,mau beli barang di shupe harga puluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be
-1,aku masih butuh selang waktu untuk kerja visual biar mampus kalian tunggu sampai 3 kali rasain p
-1,kok gitu sama aku
-1,kira aku introvert nyata juga pedopil
0,7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing pancing kayak gitu b
1,sayang lagi sakit jadi aku harus sentiasa ada buat sayang
-1,omg kau jgn buat aku g kfc ppagi cmni
0,mamak ni nak try aku ke apa
-1,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan kasih harap dia kasiaan
0,tomorrow i will date with yesterday s you movie aku download sebab kata sedih k start movie sampai ending duk fikir t
1,i liked a video aku tanya pak jokowi pakai bahasa jawa
-1,kalau jadi atas gausah sombong2 deh tindas karyawan apa kamu langsung jadi milyuner larang orang ga masuk karena ada
0,aku ngatau nih bang definisi hasil apa nga
0,sama aku kapan
0,aku main ww deg degan mulu wkwkwk id kamu apaa
-1,kayak woojin kesringan barengih dasar anak kembar
1,okaay nggapapaa aku minta doyoung ajaa makasih yaa
-1,kalau tak sungguh nak jaga aku boleh je henti berpura2 aku boleh jaga diri aku tanpa paksa kau kau tak perl
0,aku jual
-1,dulu waktu kecil aku cita cita ingin jadi orang khianat
0,waw beliin buat aku dong
1,aku terima nikah dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekah al fat
1,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga sayang
-1,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang
-1,rama gak usah ganggu aku sama karya ya tolong
-1,jangan begadang jangan minum2an soda jangan kau pilih dia pilih aku yang mampu cinta lebih dari dia
1,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh
0,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara
0,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab
-1,td mikirnya gtu pngn ngegas jg tp apa aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk
1,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang iris ca
0,benar ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewa
0,kamu sudah shalat jum at belum letsfridaypray
-1,nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk
-1,rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak
0,giveaway ina only ada yg masih nungguin wdtv sampai hampir gila kaya aku help dong 1 1 doa boleh sekali
0,moga kamu jadi salah satu dari 3ahabat yang untung dapetin pulsa 50k ya jangan lupa like dan ajak 3 teman kamu unt
-1,dara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt
1,jika aku jadi ratu maka pasti kau raja ya kan
0,aku baru je tukar tayar depan myvi pasang rm 450 malam
0,hallo td aku selancar di twt ttg belanja di gmarket gitu trs nemu km pernah beli album di gmarket
-1,boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr
-1,orang selalu kata aku penat when dia benar tengah rasa sedih
-1,aku ria sekalipun bukan kau nak appreciate
0,aku nak buat nie ti
0,pipi nya cubit pipi kamu emang mau nya di cium dmn
-1,aku harap dia tak jual fhone 8 dia semata nak beli xs tu
0,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi buat tu salah ikan kene ma
0,kalo aku baca sih emang kamu yang ngetik ga jelas wkwkwk
1,aku gemar mie burung dara enak nyambung terus
-1,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku
-1,kalen kalen pada jahad ma aku
-1,weyhh tolong faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagah badan aku untuk
-1,lebih baik aku seperti kopi yang biar basi daripada kau sapa tapi dar basa basi
0,giveaway pulsa 20k untuk 1 orang menang cara retweet dan follow akun aku aja ya menang aku umumin tangga
1,ni kalau suami aku panggil sayang macam ni we re gonna make babies right after
0,ngapain kamu
-1,aku confuse dgn jual kt malaysia ni macam asik tunjuk kaya je nak jual ke nak show off tunjuk kaya then
1,be strong bro
0,pernah pas masih ngajar privat gt adek kakak murid adek aku weekend ini mau ke spore miss pernah ke s
0,aku dok bayang macam alien keluaq dari dada
1,di antara buku buku suka yang baca sampai malam kian jauh dan sendiri aku ingin jadi buku yang telungkup di d
0,adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better
0,fastga gifwinner palinguka pake banget yang iniiiii yoon as the cutest and mino pampers him
0,laki pun ada je ayat ni lahai
0,diam tak arti kamu kalah kadang itu hanya arti kamu tak ingin debat dng orang yg bahkan tolak tuk dengar
0,tengok ni
0,tls followan ama aku yukk rep rt kita temenan
0,isteri tak sihat sejak smlm mcm biasa aku keluar pagi jam 6 30am dia yg akan hantar anak2 ke tadika taska but to
1,cerita hari ini aku baru beli 2 hamster biar ngga sepi aja sih di rumah aku pandaaaang terus mereka berdu
0,aku ngak haha cuma bawa tas selempang kecil aja udah kemana2
0,biasa lewat jalur mana ke arah kampung kamu
-1,udah gausah baper dia itu ngetik cuma pake jari jadi kamu baca pake mata aja gausah pake hati
1,tak perlu takut untuk tinggal sesuatu yg tidak hormat masih banyak sempat untuk jadi lebih hormat jika kamu berani
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu
1,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n
-1,1 may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore
1,ya allah aku lindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f
0,rlt yang suka jb2 yuk followan aku butuh temen ngobrol ga cuman butuh followers rt aja yaaa
0,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi buat tu salah ikan kene ma
1,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus tebak
0,kalau tak sungguh nak jaga aku boleh je henti berpura2 aku boleh jaga diri aku tanpa paksa kau kau tak perl
0,ab yg bucin exo mutualan yuu rt rep yaa dn aku ada nya janji follback kenal ya
-1,sakdurunge koe dadi uler aku wes dadi kupu dadi saran rasah perlu ngetoke goblok nganggo coro mbanggake bab nakalm
1,stay beside you was my job hehee sayang kamu
0,sebenernya aku gapapa sih which is itu tuh penting bgt kan karena english tuh literally international language tp prefer bah
-1,dah lah cpk aku
-1,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu
0,benda yang aku rasa tak perlu nak bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities kita contoh kita gagap pas
0,ga ko aku juga pake bagpack
1,hahahahaha hibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je peras typo dekat caption tu
0,aku tinggal nanti aku harap tak adalah orang yang post gambar kubur aku letak caption panjang lebaq kau sedekah al
0,aku ingat hari hari takda data ada la org cari aku dekat ws rupa takda langsong
0,baca ni aku golong org yg kaya
1,fams sama aku yuk
0,hari2 kalau tido brape jam je boleh mati sia otak aku
0,hi semua aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee
0,sembang dengan budak legend aku kau ajar kat mana main ml boi
-1,aku nang nih
0,bts aku sedang sibuk nafkah keluarga dan kejar impi army aku sedang sibuk nafkah orang yang sudah je
1,aku cuba nak amal sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesi dan mudah maaf
-1,aku tusuk dr belakang sakit
0,askmf ayah aku ayah kan gak suka pedes tp kenapa masakan mama yg pedes tetep ayah makan soal mama kamu m
0,aku tahu kalau check in the girls akan idam peluk sambil tido but then tak rasa kebas ke lelaki statik je tido mcm tu na
0,tahu kamu 14eptember ingat bagai hari kunjung pustaka ingat ini mulai sejak tahun 1995 oleh p
0,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab
0,nctea lama ini aku cuma tau foto jisung aja yg sini dan sekarang udah tau video nya mission complete https
0,tadi kt dapur nk mkn aku nyanyi la lagu aizat jika ku air wudhukmu jadi seri dalam lima waktu mak pun sound da
-1,lama ni mmg tinggi tk pernah jdi halang rupa yg selalu jadi halang
-1,sedih rasa kadang kadang bila doa yg aku doa makbul walaupun aku bukan hamba yg baik allah tau apa yg kita pe
0,aku tambahin deh nih
-1,i baru 3a hm kecewa hang takmau a tu mai kat aku
0,aku pernah ketemu lisa blackpink lagi solat di mesjid thailand dia wudhu juga aku liat
1,wkwkwk gt lt doa aja kamu lip yg banyak moga ganteng wowognya
0,aku macam tahu je siapa bdhshshhs
-1,tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi
0,kamu akan tanya karena aku pun juga mau tanya
1,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti
0,aku lg baca buku ini yg suka puisi yuk reply halaman dari 2 sampe 153 nanti aku fotoin rlt
0,kenapa nama kucing sama denngan nama aku
1,gilaaa beliin aku dong kak
0,aku jual yg penting email masih aktif
0,ayo siapa lagi yang mau
0,freebies alle yuk cari aku di venue dan ikutin rules di gambar ini untuk dapetin freebies idealcutinjkt apinkinjkt
0,woooojin apaaa jihoon ha
0,kah tu lah aku confuse ni hmmm
-1,wanita yang paling malang di dunia adalah wanita yang salah pilih suami isteri adalah cermin suami cantik suami cant
0,ga yg ini aku masih pilih2 pemenangnyausah komentar pada bagus2 jdi bingung pilih tunggu sebentar lg okem
0,bila cg intai kertas exam masa kau buat
-1,me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak
-1,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sama
0,mau acc kamu jadi rame yuk upfoll di aku gt lt harga dan rules bisa cek pinned ya t upfoll rp
-1,yng aku blja a yng kuar uji b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a
0,wao ada ainul ada manul dekat gtdc tapi tulah aku takdak ah kat situ baik balik boh
1,kalau kamu mau hormat harus mau hormat
0,aku daftarr g jfclosedday
-1,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb
1,tolong lah tiap hari tu belum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini
-1,tadi pamit tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya
1,bibi adik si cantik suka banget liat kalau kamu lagi neng enggak tau kenapa jadi ikut neng bi pos
-1,jangan jadi kompor kamu ya jeffan
1,aku ikut habib lutfi aja rois aam jam iyyah ahlith thariqah al mu tabarah an nahdliyyah yg minta turun bendera yg k
1,omg kamu harus lihat ini bigolive
0,ohh buatpa weh dkt dgn aku dh tuu hahahaha
0,erm macam tautau je apa yang aku perlu sekarang
-1,orang ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz
0,my dear followers and friends kalau korang ada buat photoshoot makan tolong dm aku tolong dm aku price untuk photoshoot fo
0,boleh mintak dil satu bila dengar dil sebut semua ni kan kau tak rasa geli tau konon mcm nak kata dia jiwang and
1,jadi diri sendiri agar ketika orang cinta kamu tak perlu takut jika dia akan temu diri bukan orang
0,aku naik bas ke bot nii
0,coba posisi dituker deh kamu suka makan aku suka masak
0,giveaway ada dlm rangka bday guanlin mau tambah tmn monbebe amp nctzen
-1,minta ais batu je la anjir
-1,iya sabar aku mah tiap ada jeno selalu lesat mengetag amu
-1,omg batuk aku darah ada ini jumaat yang akhir
0,untung mak aku ada anak yang suka tangkap gambar ni cuba teka umur dia berapa
0,ku tak marah kau kacau tidur tiap pagi genggam kecil hanya muat satu jari tapi dalam kampung hati kau gergasi
0,rangorang ni pasti mikir kalo crazyrichsurabayan tampil perlente pake barang mewah dari atas ampe bawah tapi bias
0,giveaway pulsa 20k untuk 1 orang menang cara retweet dan follow akun aku aja ya menang aku umumin tangga
1,saat tanya aku hanya diam dan angguk tahu bahwa dia orang yang baik
1,aku pake himalaya neem mask juga gin kok bagus emg matull banget
0,aku bukan gadis yg berniqab tapi alhamdulillah aku sudah henti berselfie dan share gmbar
-1,kepada perempuan yang tak tau leher tu juga aurat tak kisah lah kau pakai turban ke serban ke lantak kau parents kau t
0,kuat sangat hantu kat rumah aku ni
-1,lah aku tuh susaaah orang dikit dikit pikir makanya anak gampang pusing dan stress sendiri
0,terus aku nanti duduk atas situ gitu
0,kalo nilai ulang kamu jelek jangan lagi panggil aku ayah oke yah esok hari gimana hasil ulang
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu
1,selalu buat macam ni tiap kali nampak peti ais kat dapur haha
0,apa daya aku ini yg fanatik sama mi gaga rasa black paper
0,membe aku baru lepas guna pickup line masa nak bayar makan tadi awak orang mana malaysia yela duduk manaini je
0,syukur kamu tahu tahu hubung dgn permesta jg ya
-1,dulu waktu kecil gue mikirnya gapapa sekarang jelek item dekil buluk nanti gede cakep sampe sekarang sudah 13928174
0,aku malah nangkepnya kreatif lucuk sih daripada dia naro link mv di tweet berita yg ga ada hubung sama se
1,idola aku banget itu mba
-1,tu ah pelik aku sunyi sepi damak haritu
-1,kenapa ya mimpi itu langsung lupa padahal semalem aku mimpi dapetin kamu tapi sekarang lupa cara recehkantwiter
